,ln,dob,gn,fn,is_duplicate,name,concat,hash,indices,prediction
12,MICHAELSON JR,16-12-1944,M,JOHN,1,JOHN MICHAELSON JR,16-12-1944MJOHNMICHAELSON JR,h5h0vHedai9BCaShQUm3qGJPVigSQXoFQCl5dSyAtRc=,67,1
13,GRIFFIN JR,07-05-1937,M,CLIFFORD,0,CLIFFORD GRIFFIN JR,07-05-1937MCLIFFORDGRIFFIN JR,+pn7y2LTzGxoA6c/8Qzknk4YTC6RMTX0hzm56/wYM50=,68,1
14,DEEPIKA ,25-10-1953,F,PADUKON,0,PADUKON DEEPIKA ,25-10-1953FPADUKONDEEPIKA ,7PevMBZ9C5xLSHFq15H1y+hl5rZ0iX0hmOxiR6Z3IF8=,71,1
15,RUSHI ,10-05-1945,M,PANCHAL,1,PANCHAL RUSHI ,10-05-1945MPANCHALRUSHI ,PNlq7xAREN7LSVPXxIhwqBY80hJ+l/bIePX6HbxEsew=,72,1
16,BLAND JR,25-10-1953,F,WILLIAM,1,WILLIAM BLAND JR,25-10-1953FWILLIAMBLAND JR,Vf99ASRT4Rx5N+Thq+TnfjDc+vAruEz+JyKOlx/mm2s=,73,1
17,MICHAELSON JR,24-06-1939,M,JAMES,1,JAMES MICHAELSON JR,24-06-1939MJAMESMICHAELSON JR,3zORBcK7SjiDgYMWjwnAUi5zFr0ZXsQw0uJeCIQnTWY=,79,1
18,MICHAELSON JR,24-06-1939,M,JOHN,1,JOHN MICHAELSON JR,24-06-1939MJOHNMICHAELSON JR,QbZH13R5UvFAXVnNMEhI624b+wxLY16YKlKnbPtPa7g=,82,1
19,MELVIN JR,07-10-1937,M,HAROLD,1,HAROLD MELVIN JR,07-10-1937MHAROLDMELVIN JR,tJkvI+4mGqlhefPLI7RuxXZRivL4x2kc6tJwwhzdjfE=,85,1
20,MICHAELSON JR,24-06-1939,M,JOHN,1,JOHN MICHAELSON JR,24-06-1939MJOHNMICHAELSON JR,QbZH13R5UvFAXVnNMEhI624b+wxLY16YKlKnbPtPa7g=,88,1
21,MELVIN JR,07-10-1937,M,HAROLD,1,HAROLD MELVIN JR,07-10-1937MHAROLDMELVIN JR,tJkvI+4mGqlhefPLI7RuxXZRivL4x2kc6tJwwhzdjfE=,89,1
22,MICHAELSON JR,24-04-1940,M,JOHN,0,JOHN MICHAELSON JR,24-04-1940MJOHNMICHAELSON JR,Jpz6cm4gI67l7Y3d8TFL4bspJhtB6uLsQCQldquR5Kc=,92,1
23,HOUGHTON JR,31-01-1946,M,LAWRENCE,1,LAWRENCE HOUGHTON JR,31-01-1946MLAWRENCEHOUGHTON JR,0GPJfKaf9+yJ/IAVOWKI8FsMdJaV+eaOpypg/mec1Ls=,95,1
24,MICHAELSON JR,17-06-1948,M,ROY,1,ROY MICHAELSON JR,17-06-1948MROYMICHAELSON JR,saA+dAc7ioZYPgXmRkalUjoapInmJCw++LDF4/GK/uk=,96,1
25,MELVIN JR,07-10-1937,M,HAROLD,0,HAROLD MELVIN JR,07-10-1937MHAROLDMELVIN JR,tJkvI+4mGqlhefPLI7RuxXZRivL4x2kc6tJwwhzdjfE=,97,1
26,CHAVAS JR,07-10-1937,M,HAROLD,1,HAROLD CHAVAS JR,07-10-1937MHAROLDCHAVAS JR,ilSQ9dpizK4kjv1Hx39VVDtGWXjZs2PhQgREqiY7fpc=,101,1
27,GRIFFIN JR,07-05-1937,M,CLIFFORD,1,CLIFFORD GRIFFIN JR,07-05-1937MCLIFFORDGRIFFIN JR,+pn7y2LTzGxoA6c/8Qzknk4YTC6RMTX0hzm56/wYM50=,102,1
28,BLAND JR,21-02-1962,F,WILLIAM,1,WILLIAM BLAND JR,21-02-1962FWILLIAMBLAND JR,fBVwlF2fjvNoO9EQV++e0E1XN9Gh+BESnw076L+qdFI=,103,1
29,BLAND JR,08-06-1954,F,WILLIAM,1,WILLIAM BLAND JR,08-06-1954FWILLIAMBLAND JR,5vikjX1k9KMeINO7JKV2y2J1rEUdcQkPZOJIh/HAo+Y=,106,1
30,MICHAELSON JR,16-12-1944,M,JOHN,1,JOHN MICHAELSON JR,16-12-1944MJOHNMICHAELSON JR,h5h0vHedai9BCaShQUm3qGJPVigSQXoFQCl5dSyAtRc=,109,1
31,RUSHI ,10-05-1945,M,PANCHAL,1,PANCHAL RUSHI ,10-05-1945MPANCHALRUSHI ,PNlq7xAREN7LSVPXxIhwqBY80hJ+l/bIePX6HbxEsew=,111,1
32,CHAVAS JR,07-10-1937,M,HAROLD,1,HAROLD CHAVAS JR,07-10-1937MHAROLDCHAVAS JR,ilSQ9dpizK4kjv1Hx39VVDtGWXjZs2PhQgREqiY7fpc=,115,1
33,CHAVAS JR,07-10-1937,M,HAROLD,1,HAROLD CHAVAS JR,07-10-1937MHAROLDCHAVAS JR,ilSQ9dpizK4kjv1Hx39VVDtGWXjZs2PhQgREqiY7fpc=,116,1
34,PRERNA ,07-10-1937,F,BHENDARKAR,1,BHENDARKAR PRERNA ,07-10-1937FBHENDARKARPRERNA ,fGnFIAb5BCRCPHro2YD+BhUgo5pUGI9aPus7wEIK9bg=,118,1
35,LIND JR,31-01-1946,M,KENNETH,0,KENNETH LIND JR,31-01-1946MKENNETHLIND JR,sezMawAJqhTVsbwIGeZ5pWe0SZnMjxZlPjicRrnHuB0=,121,1
36,HOUGHTON JR,31-01-1946,M,LAWRENCE,1,LAWRENCE HOUGHTON JR,31-01-1946MLAWRENCEHOUGHTON JR,0GPJfKaf9+yJ/IAVOWKI8FsMdJaV+eaOpypg/mec1Ls=,126,1
37,DEEP,07-05-1937,M,PATEL,0,PATEL DEEP,07-05-1937MPATELDEEP,snII4D+z/hrMFL/If7ExrnDvEItj8TgFAOXUnDXorts=,128,1
38,BLAND JR,21-02-1962,F,WILLIAM,1,WILLIAM BLAND JR,21-02-1962FWILLIAMBLAND JR,fBVwlF2fjvNoO9EQV++e0E1XN9Gh+BESnw076L+qdFI=,129,1
39,PRIYANKA ,25-10-1953,F,GAMBHIR,0,GAMBHIR PRIYANKA ,25-10-1953FGAMBHIRPRIYANKA ,8thTu8q5CS+E0u4ZFutweEj47hdB5R2GUAX7XIekkCc=,131,1
40,CHAVAS JR,07-10-1937,M,HAROLD,0,HAROLD CHAVAS JR,07-10-1937MHAROLDCHAVAS JR,ilSQ9dpizK4kjv1Hx39VVDtGWXjZs2PhQgREqiY7fpc=,132,1
41,CLARK JR,16-12-1944,M,JOHN,1,JOHN CLARK JR,16-12-1944MJOHNCLARK JR,HJkgUJTJ1lm7/9E48O5gFp/82ltY7HOu6HI8Eepr37U=,133,1
42,MICHAELSON,25-10-1953,M,ROY,1,ROY MICHAELSON,25-10-1953MROYMICHAELSON,rLVwg0ec0ukWgAN2S5D2e23Q6SRC3+R05CSjRGKE3Zk=,134,1
43,HANNA,24-11-1934,M,ADDISON,1,ADDISON HANNA,24-11-1934MADDISONHANNA,xNO5wiQApSpvA49U8gWEp5dJomVz5AMfwcSQVhLjjvM=,135,1
44,MELVIN JR,07-10-1937,M,HAROLD,1,HAROLD MELVIN JR,07-10-1937MHAROLDMELVIN JR,tJkvI+4mGqlhefPLI7RuxXZRivL4x2kc6tJwwhzdjfE=,139,1
45,LARSON JR,09-06-1939,M,HAROLD,1,HAROLD LARSON JR,09-06-1939MHAROLDLARSON JR,APQfZCQot2UulwlwFsnPq83IDkaa3QA529sOs5yGyQ8=,140,1
